claim_id,v19_location,claim_type,claim_text,metric,environment,num_nodes,protocol,v19_value,canonical_file,canonical_key,match,severity,note,cross_check
C14,tab:pdr100 L113,table_value,HEED outdoor_urban PDR at 100 nodes,pdr_expected,outdoor_urban,100,HEED,0.0635±0.0121,results/mega_experiments/ablation_diag_multi_20260207_205448.json,raw_results[i].protocol=HEED env=outdoor_urban mean(pdr_expected)=0.0635,YES,,W1文件含双重数据: AERIS消融(720条)+基线四协议(各120条),env_sensitivity_20260207_205317.json (S12)
C15,tab:pdr100 L113,table_value,TEEN outdoor_urban PDR at 100 nodes,pdr_expected,outdoor_urban,100,TEEN,0.1201±0.0183,results/mega_experiments/ablation_diag_multi_20260207_205448.json,raw_results[i].protocol=TEEN env=outdoor_urban mean(pdr_expected)=0.1201,YES,,W1文件含双重数据: AERIS消融(720条)+基线四协议(各120条),env_sensitivity_20260207_205317.json (S12)
C16,tab:pdr100 L114,table_value,AERIS outdoor_suburban PDR at 100 nodes,pdr_expected,outdoor_suburban,100,AERIS,0.7451±0.0193,results/mega_experiments/ablation_diag_multi_20260207_205448.json,raw_results[i].protocol=AERIS ablation_config=full env=outdoor_suburban mean(pdr_expected)=0.7451,YES,,W1文件含双重数据: AERIS消融(720条)+基线四协议(各120条),env_sensitivity_20260207_205317.json (S12) protocol=AERIS
C17,tab:pdr100 L114,table_value,LEACH outdoor_suburban PDR at 100 nodes,pdr_expected,outdoor_suburban,100,LEACH,0.2703±0.0272,results/mega_experiments/ablation_diag_multi_20260207_205448.json,raw_results[i].protocol=LEACH env=outdoor_suburban mean(pdr_expected)=0.2703,YES,,W1文件含双重数据: AERIS消融(720条)+基线四协议(各120条),env_sensitivity_20260207_205317.json (S12)
C18,tab:pdr100 L114,table_value,PEGASIS outdoor_suburban PDR at 100 nodes,pdr_expected,outdoor_suburban,100,PEGASIS,0.3382±0.0329,results/mega_experiments/ablation_diag_multi_20260207_205448.json,raw_results[i].protocol=PEGASIS env=outdoor_suburban mean(pdr_expected)=0.3382,YES,,W1文件含双重数据: AERIS消融(720条)+基线四协议(各120条),env_sensitivity_20260207_205317.json (S12)
C19,tab:pdr100 L114,table_value,HEED outdoor_suburban PDR at 100 nodes,pdr_expected,outdoor_suburban,100,HEED,0.4221±0.0313,results/mega_experiments/ablation_diag_multi_20260207_205448.json,raw_results[i].protocol=HEED env=outdoor_suburban mean(pdr_expected)=0.4221,YES,,W1文件含双重数据: AERIS消融(720条)+基线四协议(各120条),env_sensitivity_20260207_205317.json (S12)
C20,tab:pdr100 L114,table_value,TEEN outdoor_suburban PDR at 100 nodes,pdr_expected,outdoor_suburban,100,TEEN,0.4752±0.0236,results/mega_experiments/ablation_diag_multi_20260207_205448.json,raw_results[i].protocol=TEEN env=outdoor_suburban mean(pdr_expected)=0.4752,YES,,W1文件含双重数据: AERIS消融(720条)+基线四协议(各120条),env_sensitivity_20260207_205317.json (S12)
C21,tab:pdr100 L120,text_claim,AERIS ranks first in all four environments at 100 nodes,ranking,all,100,AERIS,1st in 4/4,results/mega_experiments/ablation_diag_multi_20260207_205448.json,max(pdr) per env,YES,,受限于100节点矩阵; W1文件含双重数据: AERIS消融(720条)+基线四协议(各120条),
C22,tab:ablation_gateway L138,table_value,Full indoor_office PDR,pdr_expected,indoor_office,100,AERIS-full,0.9739±0.0047,results/mega_experiments/ablation_diag_multi_20260207_205448.json,env=indoor_office config=full,YES,,,
C23,tab:ablation_gateway L138,table_value,no_gateway indoor_office PDR,pdr_expected,indoor_office,100,AERIS-noGW,0.9741±0.0036,results/mega_experiments/ablation_diag_multi_20260207_205448.json,env=indoor_office config=no_gateway,YES,,,
C24,tab:ablation_gateway L139,table_value,Full indoor_factory PDR,pdr_expected,indoor_factory,100,AERIS-full,0.6031±0.0258,results/mega_experiments/ablation_diag_multi_20260207_205448.json,env=indoor_factory config=full,YES,,,
C25,tab:ablation_gateway L139,table_value,no_gateway indoor_factory PDR,pdr_expected,indoor_factory,100,AERIS-noGW,0.5806±0.0215,results/mega_experiments/ablation_diag_multi_20260207_205448.json,env=indoor_factory config=no_gateway,YES,,,
C26,tab:ablation_gateway L140,table_value,Full outdoor_urban PDR,pdr_expected,outdoor_urban,100,AERIS-full,0.3745±0.0354,results/mega_experiments/ablation_diag_multi_20260207_205448.json,env=outdoor_urban config=full,YES,,,
C27,tab:ablation_gateway L140,table_value,no_gateway outdoor_urban PDR,pdr_expected,outdoor_urban,100,AERIS-noGW,0.3534±0.0301,results/mega_experiments/ablation_diag_multi_20260207_205448.json,env=outdoor_urban config=no_gateway,YES,,,
C28,tab:ablation_gateway L141,table_value,Full outdoor_suburban PDR,pdr_expected,outdoor_suburban,100,AERIS-full,0.7451±0.0193,results/mega_experiments/ablation_diag_multi_20260207_205448.json,env=outdoor_suburban config=full,YES,,,
C29,tab:ablation_gateway L141,table_value,no_gateway outdoor_suburban PDR,pdr_expected,outdoor_suburban,100,AERIS-noGW,0.7306±0.0264,results/mega_experiments/ablation_diag_multi_20260207_205448.json,env=outdoor_suburban config=no_gateway,YES,,,
C30,tab:ablation_gateway L146-147,text_claim,Gateway positive in 3 envs; near-neutral in indoor_office (+0.0002),ablation_delta,indoor_office,100,Gateway,+0.0002,results/mega_experiments/ablation_diag_multi_20260207_205448.json,full - no_gateway,YES,,,
C31,tab:scale1000 L165,table_value,AERIS indoor_office 1000-node PDR,pdr_expected,indoor_office,1000,AERIS,0.9899,results/mega_experiments/scalability_4env_s8_unified_20260215_descriptive.csv,indoor_office 1000 AERIS pdr_mean=0.989882,YES,,S8 balanced n=1000,
C32,tab:scale1000 L165,table_value,LEACH indoor_office 1000-node PDR,pdr_expected,indoor_office,1000,LEACH,0.6282,results/mega_experiments/scalability_4env_s8_unified_20260215_descriptive.csv,indoor_office 1000 LEACH pdr_mean=0.628244,YES,,,
C33,tab:scale1000 L165,table_value,PEGASIS indoor_office 1000-node PDR,pdr_expected,indoor_office,1000,PEGASIS,0.8942,results/mega_experiments/scalability_4env_s8_unified_20260215_descriptive.csv,indoor_office 1000 PEGASIS pdr_mean=0.894177,YES,,,
C34,tab:scale1000 L165,table_value,HEED indoor_office 1000-node PDR,pdr_expected,indoor_office,1000,HEED,0.8915,results/mega_experiments/scalability_4env_s8_unified_20260215_descriptive.csv,indoor_office 1000 HEED pdr_mean=0.891518,YES,,,
C35,tab:scale1000 L165,table_value,TEEN indoor_office 1000-node PDR,pdr_expected,indoor_office,1000,TEEN,0.8032,results/mega_experiments/scalability_4env_s8_unified_20260215_descriptive.csv,indoor_office 1000 TEEN pdr_mean=0.803216,YES,,,
C36,tab:scale1000 L166,table_value,AERIS indoor_factory 1000-node PDR,pdr_expected,indoor_factory,1000,AERIS,0.9726,results/mega_experiments/scalability_4env_s8_unified_20260215_descriptive.csv,indoor_factory 1000 AERIS pdr_mean=0.972585,YES,,,
C37,tab:scale1000 L166,table_value,LEACH indoor_factory 1000-node PDR,pdr_expected,indoor_factory,1000,LEACH,0.1884,results/mega_experiments/scalability_4env_s8_unified_20260215_descriptive.csv,indoor_factory 1000 LEACH pdr_mean=0.188414,YES,,,
C38,tab:scale1000 L166,table_value,PEGASIS indoor_factory 1000-node PDR,pdr_expected,indoor_factory,1000,PEGASIS,0.1672,results/mega_experiments/scalability_4env_s8_unified_20260215_descriptive.csv,indoor_factory 1000 PEGASIS pdr_mean=0.167172,YES,,,
C39,tab:scale1000 L166,table_value,HEED indoor_factory 1000-node PDR,pdr_expected,indoor_factory,1000,HEED,0.1634,results/mega_experiments/scalability_4env_s8_unified_20260215_descriptive.csv,indoor_factory 1000 HEED pdr_mean=0.163423,YES,,,
C40,tab:scale1000 L166,table_value,TEEN indoor_factory 1000-node PDR,pdr_expected,indoor_factory,1000,TEEN,0.2199,results/mega_experiments/scalability_4env_s8_unified_20260215_descriptive.csv,indoor_factory 1000 TEEN pdr_mean=0.219882,YES,,,
C41,tab:scale1000 L167,table_value,AERIS outdoor_urban 1000-node PDR,pdr_expected,outdoor_urban,1000,AERIS,0.8846,results/mega_experiments/scalability_4env_s8_unified_20260215_descriptive.csv,outdoor_urban 1000 AERIS pdr_mean=0.884601,YES,,,
C42,tab:scale1000 L167,table_value,LEACH outdoor_urban 1000-node PDR,pdr_expected,outdoor_urban,1000,LEACH,0.0622,results/mega_experiments/scalability_4env_s8_unified_20260215_descriptive.csv,outdoor_urban 1000 LEACH pdr_mean=0.062235,YES,,,
C43,tab:scale1000 L167,table_value,PEGASIS outdoor_urban 1000-node PDR,pdr_expected,outdoor_urban,1000,PEGASIS,0.0497,results/mega_experiments/scalability_4env_s8_unified_20260215_descriptive.csv,outdoor_urban 1000 PEGASIS pdr_mean=0.049697,YES,,,
C44,tab:scale1000 L167,table_value,HEED outdoor_urban 1000-node PDR,pdr_expected,outdoor_urban,1000,HEED,0.0341,results/mega_experiments/scalability_4env_s8_unified_20260215_descriptive.csv,outdoor_urban 1000 HEED pdr_mean=0.034089,YES,,,
C45,tab:scale1000 L167,table_value,TEEN outdoor_urban 1000-node PDR,pdr_expected,outdoor_urban,1000,TEEN,0.0662,results/mega_experiments/scalability_4env_s8_unified_20260215_descriptive.csv,outdoor_urban 1000 TEEN pdr_mean=0.066231,YES,,,
C46,tab:scale1000 L168,table_value,AERIS outdoor_suburban 1000-node PDR,pdr_expected,outdoor_suburban,1000,AERIS,0.9896,results/mega_experiments/scalability_4env_s8_unified_20260215_descriptive.csv,outdoor_suburban 1000 AERIS pdr_mean=0.989596,YES,,,
C47,tab:scale1000 L168,table_value,LEACH outdoor_suburban 1000-node PDR,pdr_expected,outdoor_suburban,1000,LEACH,0.3048,results/mega_experiments/scalability_4env_s8_unified_20260215_descriptive.csv,outdoor_suburban 1000 LEACH pdr_mean=0.304795,YES,,,
C48,tab:scale1000 L168,table_value,PEGASIS outdoor_suburban 1000-node PDR,pdr_expected,outdoor_suburban,1000,PEGASIS,0.2875,results/mega_experiments/scalability_4env_s8_unified_20260215_descriptive.csv,outdoor_suburban 1000 PEGASIS pdr_mean=0.287462,YES,,,
C49,tab:scale1000 L168,table_value,HEED outdoor_suburban 1000-node PDR,pdr_expected,outdoor_suburban,1000,HEED,0.3232,results/mega_experiments/scalability_4env_s8_unified_20260215_descriptive.csv,outdoor_suburban 1000 HEED pdr_mean=0.323216,YES,,,
C50,tab:scale1000 L168,table_value,TEEN outdoor_suburban 1000-node PDR,pdr_expected,outdoor_suburban,1000,TEEN,0.3669,results/mega_experiments/scalability_4env_s8_unified_20260215_descriptive.csv,outdoor_suburban 1000 TEEN pdr_mean=0.366947,YES,,,
C51,tab:scale1000 L173,text_claim,AERIS first in all 4 envs in S8 matrix,ranking,all,1000,AERIS,1st in 4/4,results/mega_experiments/scalability_4env_s8_unified_20260215_descriptive.csv,max(pdr) per env at 1000,YES,,受限于S8矩阵,
C52,tab:robust_snapshot L184,table_value,indoor_office AERIS vs PEGASIS delta,delta_pdr,indoor_office,1000,AERIS vs PEGASIS,+0.095705,results/mega_experiments/scalability_4env_s8_unified_20260215_significance.csv,diff=0.095705,YES,,,
C53,tab:robust_snapshot L184,table_value,indoor_office Hedges g,hedges_g,indoor_office,1000,AERIS vs PEGASIS,+4.1500,results/mega_experiments/scalability_4env_s8_unified_20260215_significance.csv,hedges_g=4.149982,YES,,四舍五入4dp,
C54,tab:robust_snapshot L185,table_value,indoor_factory AERIS vs TEEN delta,delta_pdr,indoor_factory,1000,AERIS vs TEEN,+0.752703,results/mega_experiments/scalability_4env_s8_unified_20260215_significance.csv,diff=0.752702,YES,,1e-6舍入差,
C55,tab:robust_snapshot L185,table_value,indoor_factory Hedges g,hedges_g,indoor_factory,1000,AERIS vs TEEN,+138.5282,results/mega_experiments/scalability_4env_s8_unified_20260215_significance.csv,hedges_g=138.528223,YES,,,
C56,tab:robust_snapshot L186,table_value,outdoor_urban AERIS vs TEEN delta,delta_pdr,outdoor_urban,1000,AERIS vs TEEN,+0.818370,results/mega_experiments/scalability_4env_s8_unified_20260215_significance.csv,diff=0.818370,YES,,,
C57,tab:robust_snapshot L186,table_value,outdoor_urban Hedges g,hedges_g,outdoor_urban,1000,AERIS vs TEEN,+180.0377,results/mega_experiments/scalability_4env_s8_unified_20260215_significance.csv,hedges_g=180.037734,YES,,,
C58,tab:robust_snapshot L187,table_value,outdoor_suburban AERIS vs TEEN delta,delta_pdr,outdoor_suburban,1000,AERIS vs TEEN,+0.622649,results/mega_experiments/scalability_4env_s8_unified_20260215_significance.csv,diff=0.622649,YES,,,
C59,tab:robust_snapshot L187,table_value,outdoor_suburban Hedges g,hedges_g,outdoor_suburban,1000,AERIS vs TEEN,+98.9577,results/mega_experiments/scalability_4env_s8_unified_20260215_significance.csv,hedges_g=98.957729,YES,,,
C60,S5.5 L204,text_claim,AERIS stays near 2 hops (1.97-1.99) at 100 nodes,avg_hops,all,100,AERIS,1.97-1.99,results/mega_experiments/latency_hop_fix_20260209_074608_stats.csv,AERIS avg_hops per env,YES,,n=30,
C61,S5.5 L204,text_claim,PEGASIS above 31 hops,avg_hops,all,100,PEGASIS,>31,results/mega_experiments/latency_hop_fix_20260209_074608_stats.csv,PEGASIS avg_hops per env,YES,,链式转发,
C62,tab:ns3_trend L224,table_value,NS-3 AERIS indoor_office 100-node PDR,pdr_expected,indoor_office,100,AERIS (NS-3),0.9202,ns3_validation/results/ns3_scale_ext_1000_stats.csv,indoor_office AERIS 100 pdr_mean=0.920240,YES,,NS-3 n=30,
C63,tab:ns3_trend L224,table_value,NS-3 LEACH indoor_office 100-node PDR,pdr_expected,indoor_office,100,LEACH (NS-3),0.9185,ns3_validation/results/ns3_scale_ext_1000_stats.csv,indoor_office LEACH 100 pdr_mean=0.918523,YES,,,
C64,tab:ns3_trend L225,table_value,NS-3 AERIS indoor_factory 100-node PDR,pdr_expected,indoor_factory,100,AERIS (NS-3),0.6025,ns3_validation/results/ns3_scale_ext_1000_stats.csv,indoor_factory AERIS 100 pdr_mean=0.602530,YES,,,
C65,tab:ns3_trend L225,table_value,NS-3 LEACH indoor_factory 100-node PDR,pdr_expected,indoor_factory,100,LEACH (NS-3),0.5336,ns3_validation/results/ns3_scale_ext_1000_stats.csv,indoor_factory LEACH 100 pdr_mean=0.533557,YES,,,
C66,tab:ns3_trend L226,table_value,NS-3 AERIS outdoor_urban 100-node PDR,pdr_expected,outdoor_urban,100,AERIS (NS-3),0.2064,ns3_validation/results/ns3_scale_ext_1000_stats.csv,outdoor_urban AERIS 100 pdr_mean=0.206373,YES,,,
C67,tab:ns3_trend L226,table_value,NS-3 LEACH outdoor_urban 100-node PDR,pdr_expected,outdoor_urban,100,LEACH (NS-3),0.1899,ns3_validation/results/ns3_scale_ext_1000_stats.csv,outdoor_urban LEACH 100 pdr_mean=0.189857,YES,,,
C68,tab:ns3_trend L227,table_value,NS-3 AERIS outdoor_suburban 100-node PDR,pdr_expected,outdoor_suburban,100,AERIS (NS-3),0.7771,ns3_validation/results/ns3_scale_ext_1000_stats.csv,outdoor_suburban AERIS 100 pdr_mean=0.777143,YES,,,
C69,tab:ns3_trend L227,table_value,NS-3 LEACH outdoor_suburban 100-node PDR,pdr_expected,outdoor_suburban,100,LEACH (NS-3),0.6921,ns3_validation/results/ns3_scale_ext_1000_stats.csv,outdoor_suburban LEACH 100 pdr_mean=0.692123,YES,,,
C70,tab:ns3_trend L224,table_value,NS-3 indoor_office Holm p,p_holm,indoor_office,100,AERIS vs LEACH,1.00,ns3_validation/results/ns3_scale_ext_1000_significance.csv,indoor_office 100 p_holm=1.000000e+00,YES,,非显著,
C71,tab:ns3_trend L225,table_value,NS-3 indoor_factory Holm p,p_holm,indoor_factory,100,AERIS vs LEACH,4.23e-25,ns3_validation/results/ns3_scale_ext_1000_significance.csv,indoor_factory 100 p_holm,YES,,需核实精确值,
C72,tab:ns3_trend L226,table_value,NS-3 outdoor_urban Holm p,p_holm,outdoor_urban,100,AERIS vs LEACH,3.41e-3,ns3_validation/results/ns3_scale_ext_1000_significance.csv,outdoor_urban 100 p_holm,YES,,需核实精确值,
C73,tab:ns3_trend L227,table_value,NS-3 outdoor_suburban Holm p,p_holm,outdoor_suburban,100,AERIS vs LEACH,1.94e-30,ns3_validation/results/ns3_scale_ext_1000_significance.csv,outdoor_suburban 100 p_holm,YES,,需核实精确值,
C74,S5.6 L232,text_claim,25/28 AERIS-vs-LEACH comparisons significant,significance_count,all,50-1000,AERIS vs LEACH,25/28,ns3_validation/results/ns3_scale_ext_1000_significance.csv,count(sig=YES)=25,YES,,非显著: indoor_office 100/200/1000,
C75,S5.6 L214,text_claim,AERIS directionally not lower than LEACH in all cells,direction,all,50-1000,AERIS vs LEACH,27/28 positive,ns3_validation/results/ns3_scale_ext_1000_stats.csv,AERIS_mean >= LEACH_mean,PARTIAL,WARNING,indoor_office n=200: AERIS < LEACH by 0.0004,
C76,Abstract L31,text_claim,AERIS highest mean PDR in all 24 env-scale cells,ranking,all,100-1000,AERIS,1st in 24/24,results/mega_experiments/scalability_4env_s8_unified_20260215_descriptive.csv,max(pdr) per env×nodes,YES,,S8 balanced n=1000,
C77,S5.3 Fig3,trend_check,PDR-scale trend in Python simulator,pdr_trend,indoor_factory,100-1000,AERIS,0.9333→0.9726 (上升),results/mega_experiments/scalability_4env_s8_unified_20260215_descriptive.csv,AERIS indoor_factory 100 vs 1000,ANOMALY,CRITICAL,PDR随规模上升——物理不合理；无MAC碰撞模型,
C78,S5.3 Fig3,trend_check,PDR-scale trend in Python simulator,pdr_trend,outdoor_urban,100-1000,AERIS,0.7559→0.8846 (上升),results/mega_experiments/scalability_4env_s8_unified_20260215_descriptive.csv,AERIS outdoor_urban 100 vs 1000,ANOMALY,CRITICAL,同上,
C79,S5.3 Fig3,trend_check,PDR-scale trend in Python simulator,pdr_trend,outdoor_suburban,100-1000,AERIS,0.9747→0.9896 (上升),results/mega_experiments/scalability_4env_s8_unified_20260215_descriptive.csv,AERIS outdoor_suburban 100 vs 1000,ANOMALY,CRITICAL,同上,
C80,S5.3 Fig3,trend_check,PDR-scale trend in Python simulator,pdr_trend,indoor_office,100-1000,AERIS,0.9947→0.9899 (下降),results/mega_experiments/scalability_4env_s8_unified_20260215_descriptive.csv,AERIS indoor_office 100 vs 1000,OK,,唯一物理合理的环境,
